                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1343,                 3.6994,                 7.8035,                 2.3201,                0.00627,                0.78636,                0.06194,                0.01649,                0.00073,                 0.0899,                0.00051,                  8e-05,                 2.0974,                 2.0946,                 6.8324,                 3.2758,             0.00021671,             0.00021671,             0.00021671
                      1,                 1.5522,                   1.16,                 5.9581,                 1.9059,                0.00644,                0.51414,                0.04791,                0.01604,                 0.0064,                0.49949,                0.06603,                 0.0257,                 2.0433,                0.75928,                 6.8376,                 2.9456,             0.00042781,             0.00042781,             0.00042781
                      2,                 1.5768,                 1.0169,                  5.602,                 1.8396,                0.00481,                0.68687,                0.07363,                0.02452,                0.00569,                0.80253,                0.10817,                0.03637,                 2.4109,                0.88024,                 6.9736,                 4.1309,             0.00061581,             0.00061581,             0.00061581
                      3,                 1.5507,                0.88175,                 5.2205,                  1.788,                0.06202,                0.14394,                 0.1172,                0.04923,                0.07232,                0.09848,                0.13118,                0.05008,                 1.8065,                0.78142,                 5.7631,                 2.5483,              0.0007807,              0.0007807,              0.0007807
                      4,                 1.5245,                0.92285,                 4.8988,                 1.7244,                0.10561,                0.12475,                 0.0949,                0.03073,                0.18944,                0.17727,                0.11544,                0.03897,                 1.9553,                 1.0169,                 5.3607,                  2.765,             0.00092248,             0.00092248,             0.00092248
                      5,                 1.4445,                 1.0069,                   4.64,                 1.6354,                0.15795,                0.22677,                0.13409,                0.05773,                0.21171,                0.21515,                0.12556,                0.04648,                 1.9283,                0.87896,                 5.1236,                 2.6613,              0.0010412,              0.0010412,              0.0010412
                      6,                 1.4824,                0.94936,                 4.4599,                 1.6461,                0.27295,                0.19091,                0.19397,                0.08332,                0.24383,                0.18737,                0.22115,                0.09695,                 1.9501,                0.65928,                  5.062,                  2.505,              0.0011367,              0.0011367,              0.0011367
                      7,                 1.4071,                0.80148,                 4.2821,                 1.6015,                0.26933,                0.25404,                  0.229,                0.10416,                0.26768,                0.31869,                0.22707,                0.10207,                 1.7983,                0.69262,                 4.3556,                 2.2149,              0.0010894,              0.0010894,              0.0010894
                      8,                 1.3887,                0.77543,                 3.8584,                 1.5697,                0.27875,                0.39468,                0.27282,                0.12625,                0.25351,                0.35455,                0.28181,                0.13131,                 1.7629,                0.75167,                 4.6351,                 2.2307,              0.0010894,              0.0010894,              0.0010894
                      9,                  1.316,                0.80704,                 3.5058,                 1.5064,                0.45841,                0.40076,                0.37702,                 0.1737,                0.48456,                0.43864,                0.40221,                0.15933,                 1.5713,                0.63807,                 4.0348,                 2.1356,              0.0010069,              0.0010069,              0.0010069
                     10,                 1.6785,                0.68748,                 5.7483,                  1.909,                0.18071,                0.39646,                0.20294,                0.07715,                0.30507,                0.42065,                0.27789,                0.10368,                 1.7495,                0.60788,                 4.4801,                  2.385,             0.00092435,             0.00092435,             0.00092435
                     11,                 1.6592,                0.69178,                 5.5189,                 1.9364,                0.37581,                0.47778,                0.32378,                0.15982,                 0.4018,                0.50524,                0.33734,                 0.1328,                 1.6068,                 0.5823,                 4.0548,                 2.0798,             0.00084184,             0.00084184,             0.00084184
                     12,                 1.5364,                0.65807,                 4.9833,                 1.7609,                0.36345,                0.42222,                 0.3272,                0.16826,                0.38801,                 0.4601,                0.34516,                0.13519,                 1.6248,                0.71509,                 4.0561,                 2.0972,             0.00075932,             0.00075932,             0.00075932
                     13,                 1.4915,                0.65423,                 4.7696,                 1.7364,                0.31762,                0.44899,                0.34692,                0.18344,                0.36485,                0.48687,                0.37857,                0.15036,                 1.4737,                0.57398,                 3.8038,                 1.9451,              0.0006768,              0.0006768,              0.0006768
                     14,                 1.3651,                0.56268,                 4.2924,                 1.6585,                0.37278,                0.49141,                 0.4254,                0.22586,                0.39926,                0.55036,                0.46964,                0.20199,                 1.4195,                0.51064,                 3.4588,                 1.9241,             0.00059429,             0.00059429,             0.00059429
                     15,                 1.3542,                  0.603,                 4.1656,                 1.6162,                0.44724,                0.45808,                0.45296,                0.22717,                0.48866,                0.41568,                0.47431,                0.20054,                 1.4233,                0.52614,                 3.4215,                 1.9292,             0.00051177,             0.00051177,             0.00051177
                     16,                 1.2938,                0.56064,                 4.0276,                 1.5979,                0.47235,                0.42778,                0.45319,                0.24237,                0.50425,                 0.4701,                0.50448,                0.23272,                 1.3771,                0.45096,                 3.3088,                 1.8335,             0.00042925,             0.00042925,             0.00042925
                     17,                 1.2715,                0.54374,                 3.9188,                  1.542,                0.70176,                 0.5358,                0.64054,                0.38276,                0.71741,                0.55095,                0.66656,                0.32465,                 1.2677,                0.43333,                 2.9894,                 1.7456,             0.00034674,             0.00034674,             0.00034674
                     18,                 1.2911,                0.54602,                 3.8826,                  1.612,                0.68963,                0.57498,                0.69933,                0.41695,                 0.7161,                 0.5977,                0.70743,                 0.3598,                 1.2181,                0.40818,                 2.9346,                 1.7003,             0.00026422,             0.00026422,             0.00026422
                     19,                 1.2691,                0.54192,                 3.7101,                 1.5106,                    0.6,                0.69084,                0.67341,                0.40457,                0.62789,                0.73079,                0.71044,                0.35137,                 1.1765,                0.39844,                 2.9885,                  1.655,              0.0001817,              0.0001817,              0.0001817
